sport_code	year
MSO	2018
MSO	2017
MSO	2016
MSO	2015
MSO	2014
MSO	2013
MSO	2012
MSO	2011
MSO	2010
MSO	2009
MSO	2008
MSO	2007
MSO	2006
MSO	2005
MSO	2004
MSO	2003
MSO	2002
MSO	2001
MSO	2000
MSO	1999
MSO	1998
MSO	1997
MSO	1996
MSO	1995
MSO	1994
MSO	1993
MSO	1992
MSO	1991
MSO	1990
MSO	1989
MSO	1988
MSO	1987
MSO	1986
MSO	1985
MSO	1984
MSO	1983
MSO	1982
MSO	1981
MSO	1980
MSO	1979
MSO	1978
MSO	1977
MSO	1976
MSO	1975
MSO	1974
MSO	1973
MSO	1972
MSO	1971
MSO	1970
MSO	1969
MSO	1968
MSO	1967
MSO	1966
MSO	1965
MSO	1964
MSO	1963
MSO	1962
MSO	1961
MSO	1960
MSO	1959
MSO	1958
MSO	1957
MSO	1956
MSO	1955
MSO	1954
MSO	1953
MSO	1952
MSO	1951
MSO	1950
MSO	1949
MSO	1948
MSO	1947
MSO	1946
MSO	1945
MSO	1944
MSO	1943
MSO	1942
MSO	1941
MSO	1940
MSO	1939
MSO	1938
MSO	1937
MSO	1936
MSO	1935
MSO	1934
MSO	1933
MSO	1932
MSO	1931
MSO	1930
MSO	1929
MSO	1928
MSO	1927
MSO	1926
MSO	1925
MSO	1924
MSO	1923
MSO	1922
MSO	1921
MSO	1920
MSO	1919
MSO	1918
MSO	1917
MSO	1916
MSO	1915
MSO	1914
MSO	1913
MSO	1912
MSO	1911
MSO	1910
MSO	1909
MSO	1908
MSO	1907
MSO	1906
